received_at,device_id,temperature_c,humidity_percent,light_raw,light_percent,relay_state,decision,edge_relay_state,edge_decision,python_relay_command,python_energy_mode,python_decision,priority,reason,predicted_consumption,forecast_source,demand_level,demand_reference_low,demand_reference_high,solar_estimate,solar_status,temperature_status,local_light_status
2026-06-25T12:17:51.555176+00:00,enerai_box_esp32_001,32.9,55.0,346,8.45,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:18:11.422799+00:00,enerai_box_esp32_001,32.8,55.0,347,8.47,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:18:21.435272+00:00,enerai_box_esp32_001,32.8,55.0,338,8.25,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:18:31.648647+00:00,enerai_box_esp32_001,32.8,55.0,329,8.03,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:18:41.597612+00:00,enerai_box_esp32_001,32.8,55.0,346,8.45,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:18:51.651301+00:00,enerai_box_esp32_001,32.8,55.0,347,8.47,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:19:02.221682+00:00,enerai_box_esp32_001,32.8,55.0,350,8.55,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:19:11.608457+00:00,enerai_box_esp32_001,32.8,55.0,349,8.52,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:19:21.555795+00:00,enerai_box_esp32_001,32.8,55.0,349,8.52,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:19:31.577559+00:00,enerai_box_esp32_001,32.8,55.0,347,8.47,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
2026-06-25T12:19:41.454216+00:00,enerai_box_esp32_001,32.8,55.0,342,8.35,,,ON,GOOD_SOLAR_LOAD_ON,ON,NORMAL_SOLAR_MODE,GOOD_SOLAR_LOAD_ON,NORMAL,Local solar availability is favorable and no critical condition is detected. The non-critical load is allowed.,0.1700000000000727,historical_profile_forecast; dataset:data\processed\df_model_v3_corrected_weather_solar.csv,MEDIUM,0.1499999999996362,0.2799999999998545,635.175,GOOD,NORMAL,GOOD
