timestamp,conso_horaire,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,solar_irradiance,hour,dayofweek,month,lag_1,lag_24,rolling_24
2015-10-27 11:00:00+00:00,8.115,36.0,33,978.5,3.6,888.92,11,1,10,7.925,0.045,3.77
2015-10-27 12:00:00+00:00,8.35,36.9,28,977.1,4.8,836.4,12,1,10,8.115,0.395,4.10625
2015-10-27 13:00:00+00:00,8.885,37.3,26,976.2,6.7,761.9,13,1,10,8.35,0.865,4.437708333333333
2015-10-27 14:00:00+00:00,9.215,37.4,25,975.2,7.5,593.62,14,1,10,8.885,1.085,4.771875
2015-10-27 15:00:00+00:00,9.445,37.0,24,974.5,8.7,375.2,15,1,10,9.215,1.325,5.110625
2015-10-27 16:00:00+00:00,9.73,36.0,25,974.2,7.5,155.52,16,1,10,9.445,1.435,5.448958333333334
2015-10-27 17:00:00+00:00,10.035,34.4,28,974.1,6.3,10.7,17,1,10,9.73,1.645,5.794583333333333
2015-10-27 18:00:00+00:00,10.36,33.1,29,975.0,6.8,0.0,18,1,10,10.035,1.885,6.144166666666667
2015-10-27 19:00:00+00:00,10.74,31.6,33,975.8,6.4,0.0,19,1,10,10.36,2.55,6.4972916666666665
2015-10-27 20:00:00+00:00,11.09,30.7,32,976.6,7.4,0.0,20,1,10,10.74,2.86,6.838541666666667
2015-10-27 21:00:00+00:00,11.485,29.7,31,976.8,7.8,0.0,21,1,10,11.09,3.615,7.181458333333333
2015-10-27 22:00:00+00:00,12.01,29.0,31,976.9,7.3,0.0,22,1,10,11.485,3.875,7.5093749999999995
2015-10-27 23:00:00+00:00,12.22,28.3,31,977.0,7.5,0.0,23,1,10,12.01,4.09,7.848333333333333
2015-10-28 00:00:00+00:00,12.75,27.9,30,976.4,8.2,0.0,0,2,10,12.22,4.3,8.187083333333334
2015-10-28 01:00:00+00:00,12.87,27.5,30,976.1,8.7,0.0,1,2,10,12.75,4.485,8.539166666666667
2015-10-28 02:00:00+00:00,12.94,27.0,30,975.9,8.8,0.0,2,2,10,12.87,4.705,8.888541666666667
2015-10-28 03:00:00+00:00,13.065,26.6,30,975.7,8.7,0.0,3,2,10,12.94,4.875,9.231666666666667
2015-10-28 04:00:00+00:00,13.13,26.2,30,976.1,7.7,0.0,4,2,10,13.065,5.105,9.572916666666666
2015-10-28 05:00:00+00:00,13.335,25.7,31,976.9,5.2,0.0,5,2,10,13.13,5.4,9.907291666666666
2015-10-28 06:00:00+00:00,13.635,26.8,30,977.8,2.1,62.9,6,2,10,13.335,6.28,10.237916666666667
2015-10-28 07:00:00+00:00,13.795,28.2,30,978.3,4.6,220.02,7,2,10,13.635,6.64,10.544375
2015-10-28 08:00:00+00:00,13.93,30.4,27,978.7,6.7,420.2,8,2,10,13.795,7.41,10.8425
2015-10-28 09:00:00+00:00,13.99,32.5,25,978.7,7.7,651.75,9,2,10,13.93,7.685,11.114166666666668
2015-10-28 10:00:00+00:00,14.12,34.3,22,977.9,9.0,677.47,10,2,10,13.99,7.925,11.376875
2015-10-28 11:00:00+00:00,14.69,35.8,20,976.4,10.3,859.17,11,2,10,14.12,8.115,11.635
2015-10-28 12:00:00+00:00,15.19,36.7,18,975.2,11.1,858.17,12,2,10,14.69,8.35,11.908958333333333
