timestamp,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
2014-12-11 00:00:00+00:00,21.4,36,975.9,10.2
2014-12-11 01:00:00+00:00,20.6,39,975.8,8.1
2014-12-11 02:00:00+00:00,20.1,39,975.7,8.1
2014-12-11 03:00:00+00:00,19.6,41,976.0,7.8
2014-12-11 04:00:00+00:00,19.0,42,976.3,7.2
2014-12-11 05:00:00+00:00,18.5,44,976.8,7.2
2014-12-11 06:00:00+00:00,18.8,44,977.3,8.7
2014-12-11 07:00:00+00:00,22.7,34,978.5,7.6
2014-12-11 08:00:00+00:00,26.5,25,979.3,7.2
2014-12-11 09:00:00+00:00,29.9,20,979.4,7.2
2014-12-11 10:00:00+00:00,32.5,17,979.0,9.2
2014-12-11 11:00:00+00:00,34.1,15,978.2,10.4
2014-12-11 12:00:00+00:00,34.9,14,977.2,10.9
2014-12-11 13:00:00+00:00,35.3,13,976.6,10.9
2014-12-11 14:00:00+00:00,35.2,13,976.1,10.5
2014-12-11 15:00:00+00:00,34.7,13,975.8,10.1
2014-12-11 16:00:00+00:00,33.1,17,976.0,7.2
2014-12-11 17:00:00+00:00,30.7,20,976.3,8.7
2014-12-11 18:00:00+00:00,28.7,22,976.6,8.8
2014-12-11 19:00:00+00:00,27.4,24,977.2,8.7
2014-12-11 20:00:00+00:00,26.3,24,977.6,12.2
2014-12-11 21:00:00+00:00,25.4,22,978.3,17.1
2014-12-11 22:00:00+00:00,24.3,22,978.1,17.3
2014-12-11 23:00:00+00:00,23.2,23,977.9,16.1
2014-12-12 00:00:00+00:00,22.4,23,977.9,15.6
2014-12-12 01:00:00+00:00,21.7,23,977.7,15.5
2014-12-12 02:00:00+00:00,21.0,23,977.6,14.9
2014-12-12 03:00:00+00:00,20.5,23,977.8,14.5
2014-12-12 04:00:00+00:00,19.9,24,978.2,14.1
2014-12-12 05:00:00+00:00,19.5,24,978.3,13.7
2014-12-12 06:00:00+00:00,19.7,24,979.0,14.8
2014-12-12 07:00:00+00:00,21.7,21,979.9,15.6
2014-12-12 08:00:00+00:00,23.9,18,980.7,16.7
2014-12-12 09:00:00+00:00,26.1,16,980.7,17.0
2014-12-12 10:00:00+00:00,28.0,14,980.3,16.6
2014-12-12 11:00:00+00:00,29.7,13,979.4,15.7
2014-12-12 12:00:00+00:00,30.8,12,978.2,15.1
2014-12-12 13:00:00+00:00,31.5,12,977.5,15.3
2014-12-12 14:00:00+00:00,31.7,12,976.8,15.7
2014-12-12 15:00:00+00:00,31.3,12,976.5,15.3
2014-12-12 16:00:00+00:00,30.0,14,977.1,11.3
2014-12-12 17:00:00+00:00,27.8,16,977.2,9.0
2014-12-12 18:00:00+00:00,26.3,18,978.0,9.7
2014-12-12 19:00:00+00:00,25.6,18,978.6,11.2
2014-12-12 20:00:00+00:00,24.7,19,979.1,12.2
2014-12-12 21:00:00+00:00,24.3,19,979.1,13.4
2014-12-12 22:00:00+00:00,23.7,19,978.7,13.1
2014-12-12 23:00:00+00:00,23.1,19,978.7,12.4
2014-12-13 00:00:00+00:00,22.7,20,978.3,12.4
2014-12-13 01:00:00+00:00,22.3,20,977.9,12.0
2014-12-13 02:00:00+00:00,22.1,19,977.7,12.0
2014-12-13 03:00:00+00:00,21.9,19,977.7,12.3
2014-12-13 04:00:00+00:00,21.8,19,978.2,12.4
2014-12-13 05:00:00+00:00,21.6,20,978.7,12.1
2014-12-13 06:00:00+00:00,21.5,21,979.1,12.5
2014-12-13 07:00:00+00:00,21.9,21,979.7,14.5
2014-12-13 08:00:00+00:00,23.4,20,980.5,16.1
2014-12-13 09:00:00+00:00,25.0,19,980.1,16.6
2014-12-13 10:00:00+00:00,26.4,17,979.9,16.4
2014-12-13 11:00:00+00:00,28.2,16,978.8,16.3
2014-12-13 12:00:00+00:00,29.4,15,977.6,15.4
2014-12-13 13:00:00+00:00,30.3,15,976.7,14.6
2014-12-13 14:00:00+00:00,30.7,15,976.4,14.0
2014-12-13 15:00:00+00:00,30.5,15,976.4,13.0
2014-12-13 16:00:00+00:00,29.3,16,976.9,9.5
2014-12-13 17:00:00+00:00,27.1,19,977.3,9.0
2014-12-13 18:00:00+00:00,25.6,21,978.2,11.5
2014-12-13 19:00:00+00:00,24.6,21,978.8,13.7
2014-12-13 20:00:00+00:00,23.8,21,979.3,15.3
2014-12-13 21:00:00+00:00,23.0,22,979.3,15.6
2014-12-13 22:00:00+00:00,22.3,23,979.1,15.0
2014-12-13 23:00:00+00:00,21.6,24,978.9,14.3
2014-12-14 00:00:00+00:00,21.1,25,978.6,13.9
2014-12-14 01:00:00+00:00,20.6,26,978.3,13.5
2014-12-14 02:00:00+00:00,20.3,27,978.3,12.7
2014-12-14 03:00:00+00:00,20.2,28,978.3,12.4
2014-12-14 04:00:00+00:00,20.1,28,978.5,11.7
2014-12-14 05:00:00+00:00,19.9,28,978.8,11.7
2014-12-14 06:00:00+00:00,20.2,28,979.3,12.9
2014-12-14 07:00:00+00:00,21.8,25,980.3,14.6
2014-12-14 08:00:00+00:00,23.5,22,980.7,16.4
2014-12-14 09:00:00+00:00,25.9,19,980.5,15.9
2014-12-14 10:00:00+00:00,28.0,18,980.0,14.7
2014-12-14 11:00:00+00:00,29.9,16,979.3,13.2
2014-12-14 12:00:00+00:00,31.3,15,978.4,12.6
2014-12-14 13:00:00+00:00,32.2,14,977.4,12.3
2014-12-14 14:00:00+00:00,32.5,14,977.3,12.4
2014-12-14 15:00:00+00:00,32.1,14,977.0,13.0
2014-12-14 16:00:00+00:00,30.7,16,977.3,9.4
2014-12-14 17:00:00+00:00,28.3,18,977.5,9.7
2014-12-14 18:00:00+00:00,26.7,20,978.1,11.5
2014-12-14 19:00:00+00:00,25.9,20,979.0,12.6
2014-12-14 20:00:00+00:00,24.8,21,979.6,13.8
2014-12-14 21:00:00+00:00,23.9,22,979.8,14.3
2014-12-14 22:00:00+00:00,23.0,24,979.3,13.9
2014-12-14 23:00:00+00:00,22.3,25,979.3,12.7
2014-12-15 00:00:00+00:00,21.4,26,979.2,12.4
2014-12-15 01:00:00+00:00,20.7,28,979.0,11.6
2014-12-15 02:00:00+00:00,20.1,29,978.9,10.9
2014-12-15 03:00:00+00:00,19.6,30,978.7,10.3
2014-12-15 04:00:00+00:00,19.1,31,979.1,9.6
2014-12-15 05:00:00+00:00,18.7,32,979.4,9.7
2014-12-15 06:00:00+00:00,19.1,32,979.9,11.5
2014-12-15 07:00:00+00:00,21.7,27,980.9,13.2
2014-12-15 08:00:00+00:00,24.2,23,981.2,15.5
2014-12-15 09:00:00+00:00,26.8,20,981.1,15.3
2014-12-15 10:00:00+00:00,29.2,17,980.8,13.6
2014-12-15 11:00:00+00:00,31.3,16,979.4,12.5
2014-12-15 12:00:00+00:00,33.0,14,978.4,12.0
2014-12-15 13:00:00+00:00,34.0,14,977.6,11.8
2014-12-15 14:00:00+00:00,34.5,13,977.0,12.2
2014-12-15 15:00:00+00:00,34.2,13,976.7,12.3
